V,Libelle GEN,Libelle ROME,Code ROME,score
Non,Technicien en télécommunication,Dessinateur / Dessinatrice en maroquinerie,H1205,0
Non,Technicien en télécommunication,Dessinateur / Dessinatrice en plasturgie,H1203,0
Non,Technicien en télécommunication,Dessinateur / Dessinatrice en publicité,E1205,0
Non,Expert en système d’information,Dessinateur / Dessinatrice en systèmes mécaniques,H1203,0
Non,Ingénieur en Machine Learning,Ingénieur / Ingénieure d'affaires industrielles en éco-conception,H1102,0
Non,Technicien en télécommunication,Technicien / Technicienne ERD en acoustique,H1210,0
Oui,Développeur de jeux vidéos,Développeur / Développeuse logiciel de réalité augmentée,M1805,100
Non,Développeur de jeux vidéos,Développeur / Développeuse de négatifs de films cinématographiques,E1202,0
Non,Développeur de jeux vidéos,Développeur / Développeuse de positifs de films cinématographiques,E1202,0
Non,Developpeur Back-End,Développeur-vendeur / Développeuse-vendeuse en photographies,E1203,0
Non,Directeur de projet,Directeur / Directrice de bureau d'études en industrie,H1206,0
Non,Directeur de projet,Directeur / Directrice de clientèle d'agence de publicité,E1401,0
Non,Directeur de projet,Directeur / Directrice de collection en édition,E1105,0
Non,Directeur de projet,Directeur / Directrice de compagnie de danse,L1302,0
Non,Directeur de projet,Directeur / Directrice de compagnie de théâtre,L1302,0
Non,Directeur de projet,Directeur / Directrice de création communication multimédia,E1104,0
Non,Directeur de projet,Directeur / Directrice de département informatique,M1803,0
Non,Directeur de projet,Directeur / Directrice de département télécoms,M1803,0
Non,Directeur de projet,Directeur / Directrice de la danse,L1302,0
Non,Directeur de projet,Directeur / Directrice de la musique,L1302,0
Non,Directeur de projet,Directeur / Directrice de la rédaction,E1106,0
Non,Directeur de projet,Directeur / Directrice de production cinématographique,L1302,0
Non,Directeur de projet,Directeur / Directrice de service télécoms,M1803,0
Non,Directeur de projet,Directeur / Directrice de théâtre,L1302,0
Non,Directeur de projet,Directeur / Directrice d'écriture de scénario,E1102,0
Non,Expert en système d’information,Directeur / Directrice d'édition en ligne,E1105,0
Non,Directeur de projet,Directeur / Directrice des études en industrie,H1206,0
Non,Directeur de projet,Directeur / Directrice des publications,E1105,0
Non,Directeur de projet,Directeur musical / Directrice musicale,L1302,0
Non,Technicien en télécommunication,Échantillonneur / Échantillonneuse en teinture,H1201,0
Non,Gestionnaire de base de données,Employé / Employée de reprographie,E1307,0
Non,Gestionnaire de base de données,Employé / Employée de routage,E1304,0
Non,Expert en système d’information,Expérimentateur / Expérimentatrice d'essais en industrie,H1206,0
Non,Expert systèmes et réseaux,Expert / Experte en communication et réseaux,M1802,0
Non,Responsable sécurité des systèmes d'information,Expert / Experte en sécurité des systèmes d'exploitation,M1802,0
Non,Expert Sécurité IT,Expert / Experte juridique,K1903,0
Non,Expert systèmes et réseaux,Expert / Experte méthodes et qualité informatique,M1802,0
Non,Expert Sécurité IT,"Expert / Experte sécurité, méthode et qualité informatique",M1802,0
Non,Expert en système d’information,Expert / Experte système d'exploitation,M1802,0
Non,Responsable sécurité des systèmes d'information,Exploitant / Exploitante des systèmes de guerre électronique,M1807,0
Non,Gestionnaire de base de données,Façonneur / Façonneuse de plans,E1307,0
Non,Administrateur Système d'information,Gestionnaire d'applications système d'information,M1806,0
Oui,Gestionnaire de parc micro-informatique,Gestionnaire de ressources informatiques,M1810,100
Non,Expert en technologie de l’information,Infographiste en image de synthèse,E1205,0
Non,Chargé de marketing digital,Informaticien chargé / Informaticienne chargée d'étude,M1805,0
Non,Développeur d'applications,Informaticien / Informaticienne d'application,M1805,0
Non,Gestionnaire de base de données,Informaticien / Informaticienne de développement,M1805,0
Oui,Expert en système d’information,Ingénieur / Ingénieure analyste en système d'information,M1805,100
Non,Analyste SOC,Ingénieur / Ingénieure analyste informatique,M1805,0
Non,Ingénieur DevOps,Ingénieur / Ingénieure architecture navale,H1206,0
Non,Ingénieur DevOps,Ingénieur / Ingénieure assistance technique,H1101,0
Non,Ingénieur en Machine Learning,Ingénieur / Ingénieure biochimiste en industrie,H1206,0
Non,Ingénieur en Machine Learning,Ingénieur biomédical / Ingénieure biomédicale en industrie,H1206,0
Non,Ingénieur en Machine Learning,Ingénieur / Ingénieure brevet en industrie,H1206,0
Non,Ingénieur en Machine Learning,Ingénieur calculateur / Ingénieure calculatrice en industrie,H1206,0
Non,Ingénieur en Machine Learning,Ingénieur / Ingénieure chimiste en industrie,H1206,0
Non,Ingénieur en Machine Learning,Ingénieur / Ingénieure d'affaires en industrie,H1102,0
Non,Gestionnaire de parc micro-informatique,Ingénieur / Ingénieure d'analyse et de programmation en informatique de gestion,M1805,0
Non,Ingénieur en Machine Learning,Ingénieur / Ingénieure d'application en industrie,H1206,0
Non,Ingénieur en Machine Learning,Ingénieur / Ingénieure de bureau d'études en industrie,H1206,0
Non,Ingénieur DevOps,Ingénieur / Ingénieure de contrats industriels,H1102,0
Non,Expert en technologie de l’information,Ingénieur / Ingénieure de développement de produits en industrie,H1206,0
Non,Gestionnaire de parc micro-informatique,Ingénieur / Ingénieure de développement informatique,M1805,0
Non,Ingénieur en Machine Learning,Ingénieur / Ingénieure de piste en industrie,H1206,0
Non,Chef de projet systèmes d'information,Ingénieur / Ingénieure de projet d'affaires en industrie,H1102,0
Non,Gestionnaire de parc micro-informatique,Ingénieur / Ingénieure de réalisation informatique,M1805,0
Non,Ingénieur en Machine Learning,Ingénieur / Ingénieure de recherche procédés en industrie,H1206,0
Non,Ingénieur en Machine Learning,Ingénieur / Ingénieure de recherche produits en industrie,H1206,0
Non,Ingénieur DevOps,Ingénieur / Ingénieure de verrerie,H1206,0
Non,Ingénieur DevOps,Ingénieur / Ingénieure déploiement télécoms,M1804,0
Non,Ingénieur en Machine Learning,Ingénieur / Ingénieure d'étude en applications scientifiques informatiques,M1805,0
Non,Ingénieur en Machine Learning,Ingénieur / Ingénieure d'étude en informatique de gestion,M1805,0
Oui,Ingénieur DevOps,Ingénieur / Ingénieure d'étude informatique,M1805,100
Non,Ingénieur en Machine Learning,Ingénieur / Ingénieure d'études en industrie,H1206,0
Non,Ingénieur en Machine Learning,Ingénieur / Ingénieure d'études-recherche-développement en industrie,H1206,0
Non,Ingénieur logiciel en robotique,Ingénieur / Ingénieure développement logiciel informatique,M1805,0
Non,Ingénieur en Machine Learning,Ingénieur / Ingénieure développements en industrie,H1206,0
Non,Technicien d'exploitation,Ingénieur / Ingénieure d'exploitation informatique,M1810,0
Non,Développeur d'applications,Ingénieur / Ingénieure d'intégration applicative,M1805,0
Non,Ingénieur en Machine Learning,Ingénieur électricien / Ingénieure électricienne en industrie,H1206,0
Non,Ingénieur en Machine Learning,Ingénieur électronicien / Ingénieure électronicienne en industrie,H1206,0
Non,Ingénieur en Machine Learning,Ingénieur / Ingénieure en aéronautique en industrie,H1206,0
Non,Ingénieur en Machine Learning,Ingénieur / Ingénieure en architecture télécoms,M1804,0
Non,Ingénieur en Machine Learning,Ingénieur / Ingénieure en armement en industrie,H1206,0
Non,Ingénieur en Machine Learning,Ingénieur / Ingénieure en automatismes en industrie,H1206,0
Non,Ingénieur en Machine Learning,Ingénieur / Ingénieure en biopuce en industrie,H1206,0
Non,Ingénieur en Machine Learning,Ingénieur / Ingénieure en biotechnologie en industrie,H1206,0
Non,Ingénieur en Machine Learning,Ingénieur / Ingénieure en chimie en industrie,H1206,0
Non,Ingénieur en Machine Learning,Ingénieur / Ingénieure en électronique grand public en industrie,H1206,0
Non,Ingénieur en Machine Learning,Ingénieur / Ingénieure en électronique professionnelle en industrie,H1206,0
Non,Ingénieur en Machine Learning,Ingénieur / Ingénieure en innovations technologiques,H1206,0
Non,Ingénieur en Machine Learning,Ingénieur / Ingénieure en matériaux en industrie,H1206,0
Non,Ingénieur en Machine Learning,Ingénieur / Ingénieure en microbiologie en industrie,H1206,0
Non,Ingénieur en Machine Learning,Ingénieur / Ingénieure en micro-électronique en industrie,H1206,0
Non,Ingénieur en Machine Learning,Ingénieur / Ingénieure en nanotechnologie en industrie,H1206,0
Non,Ingénieur en Machine Learning,"Ingénieur / Ingénieure en procédés, études et développement",H1206,0
Non,Ingénieur en Machine Learning,Ingénieur / Ingénieure en structures aéronautiques en industrie,H1206,0
Non,Ingénieur en Machine Learning,Ingénieur / Ingénieure en systèmes électriques en industrie,H1206,0
Non,Ingénieur en Machine Learning,Ingénieur / Ingénieure en thermodynamique en industrie,H1206,0
Non,Ingénieur en Machine Learning,Ingénieur / Ingénieure en veille technologique en industrie,H1206,0
Non,Ingénieur en Machine Learning,Ingénieur / Ingénieure études de moyens en industrie,H1206,0
Non,Ingénieur DevOps,Ingénieur / Ingénieure études et procédés industriels,H1206,0
Non,Ingénieur en Machine Learning,Ingénieur / Ingénieure fiabilité en industrie,H1206,0
Non,Ingénieur en Machine Learning,Ingénieur / Ingénieure génie chimique en industrie,H1206,0
Non,Ingénieur en Machine Learning,Ingénieur / Ingénieure hydrochimiste en industrie,H1206,0
Non,Ingénieur en Machine Learning,Ingénieur / Ingénieure informatique développement en temps réel,M1805,0
Non,Ingénieur en Machine Learning,Ingénieur / Ingénieure instrumentation en industrie,H1206,0
Non,Ingénieur en Machine Learning,Ingénieur mécanicien / Ingénieure mécanicienne en industrie,H1206,0
Oui,Ingénieur DevOps,Ingénieur / Ingénieure méthodes informatiques,M1802,100
Non,Ingénieur DevOps,Ingénieur / Ingénieure métrologie,H1206,0
Non,Ingénieur en Machine Learning,Ingénieur / Ingénieure militaire en recherche et développement,H1206,0
Non,Ingénieur en Machine Learning,Ingénieur / Ingénieure motoriste en industrie,H1206,0
Non,Ingénieur en Machine Learning,"Ingénieur / Ingénieure normalisation en études, recherche et développement",H1206,0
Non,Ingénieur en Machine Learning,Ingénieur papetier / Ingénieure papetière en industrie,H1206,0
Non,Ingénieur en Machine Learning,Ingénieur physicien / Ingénieure physicienne en industrie,H1206,0
Non,Chef de projet systèmes d'information,Ingénieur / Ingénieure pilotage de projets d'affaires industriels,H1102,0
Non,Ingénieur en Machine Learning,Ingénieur / Ingénieure plasturgiste en industrie,H1206,0
Oui,Ingénieur DevOps,Ingénieur / Ingénieure programme informatique,M1805,100
Non,Ingénieur DevOps,Ingénieur / Ingénieure réseaux télécoms,M1804,0
Oui,Expert Sécurité IT,Ingénieur / Ingénieure sécurité informatique,M1802,100
Non,Ingénieur DevOps,Ingénieur / Ingénieure service client,H1101,0
Non,Ingénieur en Machine Learning,Ingénieur / Ingénieure spécification en industrie,H1206,0
Oui,Administrateur système et réseau,Ingénieur / Ingénieure système réseau informatique,M1802,100
Non,Chef de projet systèmes d'information,Ingénieur / Ingénieure Systèmes d'Information Géographique -SIG,M1808,0
Non,Ingénieur en Machine Learning,Ingénieur / Ingénieure textile en industrie,H1206,0
Non,Développeur d'applications,Intégrateur / Intégratrice d'application informatique,M1805,0
Non,Technicien d'exploitation,Intégrateur / Intégratrice d'exploitation informatique,M1810,0
Non,Expert en technologie de l’information,Interprète en langue des signes,E1108,0
Non,Journaliste web,Journaliste,E1106,0
Non,Chargé de marketing digital,Journaliste chargé / chargée de publication,E1106,0
Non,Journaliste web,Journaliste de presse audiovisuelle,E1106,0
Non,Journaliste web,Journaliste de presse radiophonique,E1106,0
Non,Créateur d'entreprise,Journaliste d'entreprise,E1106,0
Non,Journaliste web,Journaliste présentateur / présentatrice TV,E1106,0
Non,Journaliste web,Journaliste scientifique,E1106,0
Non,Spécialiste support,Journaliste spécialisé / spécialisée,E1106,0
Non,Gestionnaire de base de données,Juriste de l'environnement,K1903,0
Non,Créateur d'entreprise,Juriste d'entreprise,K1903,0
Non,Expert en technologie de l’information,Juriste en droit de la construction,K1903,0
Non,Administrateur Système d'information,Maître / Maîtresse d'ouvrage système d'information,M1806,0
Non,Chef de projet systèmes d'information,Maquettiste d'exécution édition,E1306,0
Non,Technicien en télécommunication,Maquettiste en arts graphiques,E1205,0
Non,Technicien en télécommunication,Metteur / Metteuse en page,E1306,0
Non,Technicien en télécommunication,Monteur / Monteuse en imposition,E1306,0
Non,Développeur machine learning,Opérateur / Opératrice de machine manuelle d'affranchissement,E1304,0
Non,Gestionnaire de base de données,Opérateur / Opératrice de photocomposition,E1306,0
Non,Technicien en télécommunication,Opérateur / Opératrice en reprographie,E1307,0
Non,Gestionnaire de base de données,Organisateur / Organisatrice de manifestations,E1107,0
Non,Gestionnaire de base de données,Organisateur / Organisatrice de réceptions,E1107,0
Non,Gestionnaire de base de données,Organisateur / Organisatrice de soirées,E1107,0
Non,Technicien en télécommunication,Papetier / Papetière en façonnage,E1304,0
Non,Architecte Logiciel,Paramétreur / Paramétreuse logiciel ERP,M1805,0
Non,Technicien en télécommunication,Patronnier / Patronnière en chaussures,H1205,0
Non,Expert en technologie de l’information,Peintre en trompe-l'oeil,B1101,0
Non,Gestionnaire de parc micro-informatique,Pilote de ressources informatiques,M1810,0
Non,Chef de projet systèmes d'information,Premier / Première d'atelier,H1205,0
Non,Expert en technologie de l’information,Préparateur / Préparatrice en laboratoire de recherche,H1210,0
Non,Gestionnaire de base de données,Producteur / Productrice de spectacles,L1302,0
Non,Délégué à la protection des données (DPD),Producteur délégué / Productrice déléguée,L1302,0
Non,Gestionnaire de base de données,Professeur / Professeure de yoga,G1202,0
Non,Gestionnaire de base de données,Programmateur / Programmatrice de spectacles,L1302,0
Non,Développeur d'applications,Programmeur / Programmeuse d'applications,M1805,0
Non,Chef de projet systèmes d'information,Programmeur / Programmeuse d'études,M1805,0
Non,Gestionnaire de base de données,Programmeur / Programmeuse logiciel de base informatique,M1805,0
Non,Gestionnaire de base de données,Projectionniste de laboratoire cinématographique,E1202,0
Non,Technicien d'exploitation,Pupitreur / Pupitreuse d'exploitation informatique,M1810,0
Non,Ingénieur logiciel en robotique,Qualiticien / Qualiticienne logiciel en informatique,M1802,0
Non,Chef de projet technique,Rédacteur / Rédactrice de notices techniques,H1207,0
Non,Gestionnaire de base de données,Rédacteur / Rédactrice de presse,E1106,0
Non,Conseiller support technique,Rédacteur / Rédactrice technique automobile,H1207,0
Non,Chef de projet systèmes d'information,Régisseur / Régisseuse d'évènementiel,E1107,0
Non,Gestionnaire de base de données,Régleur / Régleuse de machines de routage,E1302,0
Non,Technicien en télécommunication,Réparateur / Réparatrice en électroménager,I1402,0
Non,Conseiller support technique,Représentant technique / Représentante technique utilisateur,H1101,0
Non,Responsable Sécurité de l'information,Responsable centre de support client,H1101,0
Non,Expert en système d’information,Responsable d'affaires en industrie,H1102,0
Non,Responsable CRM,Responsable d'application informatique,M1805,0
Non,Responsable Sécurité de l'information,Responsable d'atelier de façonnage,E1303,0
Non,Responsable Sécurité de l'information,Responsable d'atelier de génie logiciel,M1805,0
Non,Responsable Sécurité de l'information,Responsable d'atelier de photogravure,E1306,0
Non,Responsable Sécurité de l'information,Responsable d'atelier de routage,E1303,0
Non,Developpeur Back-End,Responsable de bureau d'études en industrie,H1206,0
Non,Responsable communication digitale,Responsable de communication en entreprise,E1103,0
Non,Responsable communication digitale,Responsable de communication externe,E1103,0
Oui,Responsable communication digitale,Responsable de conception communication multimédia,E1104,100
Non,Gestionnaire de parc micro-informatique,Responsable de domaine en informatique,M1803,0
Non,Responsable CRM,Responsable de domaine télécoms,M1803,0
Non,Expert en technologie de l’information,Responsable de fabrication en industrie graphique,E1308,0
Non,Responsable Sécurité de l'information,Responsable de gestion de configuration,M1805,0
Non,Chargé de production vidéos,Responsable de la production informatique,M1803,0
Non,Responsable Sécurité de l'information,Responsable de la programmation de spectacles,L1302,0
Non,Responsable CRM,Responsable de la teinte,H1201,0
Non,Responsable CRM,Responsable de laboratoire cinématographique,E1202,0
Non,Responsable CRM,Responsable de laboratoire photographique,E1203,0
Non,Chargé de communication web,Responsable de l'information et de la communication,E1103,0
Non,Responsable Sécurité de l'information,Responsable de minilaboratoire de tirage photographique,E1203,0
Non,Expert en technologie de l’information,Responsable de planning en industrie graphique,E1308,0
Non,Responsable Sécurité de l'information,Responsable de produits d'édition,E1105,0
Non,Chef de projet systèmes d'information,Responsable de projet architecture et intégration grands systèmes,M1803,0
Non,Coordinateur de projet,Responsable de projet architecture informatique,M1803,0
Non,Coordinateur de projet,Responsable de projet architecture télécoms,M1803,0
Non,Chef de projet systèmes d'information,Responsable de projet d'affaires en industrie,H1102,0
Non,Coordinateur de projet,Responsable de projet industriel,H1206,0
Oui,Coordinateur de projet,Responsable de projet informatique,M1805,100
Non,Coordinateur de projet,Responsable de projet publicitaire,E1401,0
Non,Responsable CRM,Responsable de réseaux télécoms,M1803,0
Non,Responsable sécurité des systèmes d'information,Responsable d'édition,E1105,0
Non,Expert en système d’information,Responsable d'édition en presse,E1106,0
Non,Responsable sécurité des systèmes d'information,Responsable des développements informatiques,M1805,0
Non,Responsable sécurité des systèmes d'information,Responsable des relations extérieures,E1103,0
Non,Responsable sécurité des systèmes d'information,Responsable des relations internes,E1103,0
Non,Responsable sécurité des systèmes d'information,Responsable des relations presse,E1103,0
Non,Responsable sécurité des systèmes d'information,Responsable des systèmes d'information,M1803,0
Non,Responsable CRM,Responsable d'étude informatique,M1805,0
Non,Expert en système d’information,Responsable d'études cliniques en industrie,H1206,0
Non,Responsable CRM,Responsable d'études industrielles,H1206,0
Non,Responsable Sécurité de l'information,Responsable du management de la DSI,M1803,0
Non,Responsable CRM,Responsable du plan média,E1402,0
Non,Responsable CRM,Responsable du réseau informatique,M1803,0
Non,Responsable Sécurité de l'information,Responsable du service de presse,E1103,0
Non,Responsable CRM,Responsable du service prépresse,E1306,0
Non,Responsable CRM,Responsable évènement,E1107,0
Non,Responsable CRM,Responsable informatique,M1803,0
Non,Responsable CRM,Responsable média,E1402,0
Non,Gestionnaire de parc micro-informatique,Responsable micro-informatique,I1401,0
Oui,Responsable Sécurité de l'information,Responsable sécurité informatique,M1802,100
Non,Responsable CRM,Responsable service rédaction technique,H1207,0
Non,Administrateur Système d'information,Responsable Système d'Information Géographique -SIG-,M1808,0
Non,Chef de projet technique,Responsable technique de la projection,E1204,0
Non,Responsable CRM,Responsable télécoms,M1803,0
Non,Responsable sécurité des systèmes d'information,Responsable utilisateurs des systèmes d'information,M1806,0
Non,Technicien en télécommunication,Roughman / Roughwoman en design,H1204,0
Non,Chef de projet systèmes d'information,Second / Seconde d'atelier,H1205,0
Non,Chargé de production vidéos,Secrétaire de production cinéma,L1302,0
Non,Délégué à la protection des données (DPD),Secrétaire général / générale de la rédaction,E1106,0
Non,Spécialiste support,Spécialiste METOC Météorologie Océanographie,M1809,0
Non,Technicien en télécommunication,Technicien / Technicienne d'assistance à la clientèle en informatique,I1401,0
Non,Technicien en télécommunication,Technicien / Technicienne biologiste en recherche-développement,H1210,0
Non,Délégué à la protection des données (DPD),Technicien / Technicienne bureau d'études des industries de la chaussure,H1205,0
Non,Technicien d'exploitation,Technicien / Technicienne bureau d'études maroquinerie,H1205,0
Non,Technicien en télécommunication,Technicien / Technicienne coloriste en industrie,H1201,0
Non,Technicien en télécommunication,Technicien / Technicienne coloriste en recherche et développement,H1201,0
Non,Technicien cloud,Technicien / Technicienne communication aux armées,M1807,0
Non,Technicien d'exploitation,Technicien / Technicienne d'analyse et d'essais métallurgique,H1210,0
Non,Technicien base de données,Technicien / Technicienne de fabrication d'édition,E1308,0
Non,Technicien en télécommunication,Technicien / Technicienne de fabrication en industrie graphique,E1308,0
Non,Technicien en télécommunication,Technicien / Technicienne de fabrication-deviseur en industrie graphique,E1308,0
Non,Technicien en télécommunication,Technicien / Technicienne de help desk en informatique,I1401,0
Non,Technicien de déploiement de fibre optique,Technicien / Technicienne de laboratoire de développement analytique,H1210,0
Non,Technicien de déploiement de fibre optique,Technicien / Technicienne de laboratoire de recherche,H1210,0
Non,Technicien base de données,Technicien / Technicienne de laboratoire d'essais,H1210,0
Non,Technicien en télécommunication,Technicien / Technicienne de laboratoire en industrie graphique,E1308,0
Non,Technicien de déploiement de fibre optique,Technicien / Technicienne de maintenance de réseaux informatiques,I1401,0
Non,Technicien de déploiement de fibre optique,Technicien / Technicienne de maintenance de réseaux télématiques,I1401,0
Non,Technicien en télécommunication,Technicien / Technicienne de maintenance en appareils électroménagers,I1402,0
Non,Technicien en télécommunication,Technicien / Technicienne de maintenance en bureautique,I1401,0
Non,Technicien en télécommunication,Technicien / Technicienne de maintenance en électronique grand public,I1402,0
Non,Technicien en télécommunication,Technicien / Technicienne de maintenance en informatique,I1401,0
Non,Technicien en télécommunication,Technicien / Technicienne de maintenance en matériels photographiques,I1402,0
Non,Technicien en télécommunication,Technicien / Technicienne de maintenance en microsystèmes informatiques,I1401,0
Non,Technicien en télécommunication,Technicien / Technicienne de maintenance en monétique,I1401,0
Non,Technicien base de données,Technicien / Technicienne de mesures aérodynamiques,H1210,0
Non,Technicien base de données,Technicien / Technicienne de préparation contrôle composition,E1308,0
Non,Technicien base de données,Technicien / Technicienne de préparation contrôle impression-finition,E1308,0
Non,Technicien base de données,Technicien / Technicienne de préparation contrôle photogravure,E1308,0
Non,Technicien base de données,Technicien / Technicienne de recherche alimentaire,H1210,0
Non,Technicien base de données,Technicien / Technicienne de recherche appliquée,H1210,0
Non,Technicien cloud,Technicien dépanneur / Technicienne dépanneuse gros électroménagers,I1402,0
Non,Technicien cloud,Technicien dépanneur / Technicienne dépanneuse petits électroménagers,I1402,0
Non,Technicien cloud,Technicien / Technicienne des industries graphiques,E1308,0
Non,Technicien en télécommunication,Technicien / Technicienne d'essais matériaux en recherche-développement,H1210,0
Non,Technicien système et réseau,Technicien / Technicienne détection et analyse des signaux électromagnétiques,M1807,0
Non,Technicien en télécommunication,Technicien / Technicienne d'études en automatisme,H1208,0
Non,Technicien en télécommunication,Technicien / Technicienne d'études en instrumentation-régulation,H1208,0
Non,Technicien en télécommunication,Technicien / Technicienne d'études en systèmes mécaniques automatisés,H1208,0
Non,Technicien d'exploitation,Technicien / Technicienne d'études instrumentaliste,H1208,0
Non,Technicien en télécommunication,Technicien / Technicienne d'expérimentation en recherche,H1210,0
Oui,Technicien d'exploitation,Technicien / Technicienne d'exploitation informatique,M1810,100
Non,Technicien d'exploitation,Technicien / Technicienne d'instrumentation scientifique,H1210,0
Non,Chef de projet web,Chief Technical Officer - CTO,M1802,0
Non,Community manager,Project Manager,M1803,0
Non,Product Manager,Project Management Officer - PMO,M1806,0
Non,Technicien en télécommunication,Technicien électromécanicien / Technicienne électromécanicienne en études et développement,H1209,0
Non,Technicien base de données,Technicien électronicien / Technicienne électronicienne de développement,H1209,0
Oui,Technicien en télécommunication,Technicien / Technicienne en communication,M1807,100
Non,Technicien en télécommunication,Technicien / Technicienne en conception de systèmes automatisés,H1208,0
Non,Technicien en télécommunication,Technicien / Technicienne en conception industrielle en mécanique,H1203,0
Non,Technicien en télécommunication,Technicien / Technicienne en développement,H1210,0
Non,Technicien en télécommunication,Technicien / Technicienne en développement de procédés,H1210,0
Non,Technicien en télécommunication,Technicien / Technicienne en électronique études et développement,H1209,0
Non,Technicien en télécommunication,Technicien / Technicienne en électrotechnique études et développement,H1209,0
Non,Technicien en télécommunication,Technicien / Technicienne en expérimentation animale,H1210,0
Non,Technicien en télécommunication,Technicien / Technicienne en expérimentation végétale,H1210,0
Non,Technicien en télécommunication,Technicien / Technicienne en image de synthèse 3D,E1205,0
Non,Technicien en télécommunication,Technicien / Technicienne en informatique industrielle,H1208,0
Non,Technicien en télécommunication,Technicien / Technicienne en matériaux en recherche-développement,H1210,0
Non,Technicien en télécommunication,Technicien / Technicienne en mesures physiques en recherche-développement,H1210,0
Non,Technicien en télécommunication,Technicien / Technicienne en mesures physiques et essais,H1210,0
Non,Technicien en télécommunication,Technicien / Technicienne en micro-informatique et bureautique,I1401,0
Oui,Technicien système et réseau,Technicien / Technicienne en micro-informatique et réseaux,I1401,100
Non,Technicien en télécommunication,Technicien / Technicienne en recherche-développement,H1210,0
Non,Technicien en télécommunication,Technicien / Technicienne en reprographie,E1307,0
Non,Technicien en télécommunication,Technicien / Technicienne en reprographie numérique,E1307,0
Oui,Technicien réseau,Technicien / Technicienne en réseau local informatique,I1401,100
Non,Technicien en télécommunication,Technicien / Technicienne en techniques expérimentales,H1210,0
Non,Technicien en télécommunication,"Technicien / Technicienne en télévision, hi-fi",I1402,0
Non,Technicien en télécommunication,Technicien / Technicienne essai-contrôle qualité en industrie graphique,E1308,0
Non,Technicien cloud,Technicien / Technicienne études électriques,H1209,0
Non,Technicien de déploiement de fibre optique,Technicien exploitant / Technicienne exploitante de systèmes de guerre électronique,M1807,0
Non,Technicien cloud,Technicien / Technicienne finissage des peaux,H1201,0
Non,Technicien cloud,Technicien géomaticien / Technicienne géomaticienne,M1808,0
Oui,Technicien cloud,Technicien / Technicienne informatique,M1810,100
Non,Technicien base de données,Technicien / Technicienne ingénierie réseaux de télécoms,M1804,0
Non,Technicien base de données,Technicien / Technicienne laboratoire de recherche-développement,H1210,0
Non,Technicien cloud,Technicien / Technicienne météorologiste-océanographe,M1809,0
Non,Technicien cloud,Technicien / Technicienne produits «Blanc»,I1402,0
Non,Technicien cloud,Technicien / Technicienne produits «Brun»,I1402,0
Non,Technicien cloud,Technicien / Technicienne programmation,M1805,0
Non,Technicien base de données,Technicien / Technicienne réseau de transmission de données aux armées,M1807,0
Non,Technicien cloud,Technicien restituteur / Technicienne restitutrice photogrammètre,M1808,0
Non,Technicien base de données,Technicien / Technicienne sécurité des communications aux armées,M1807,0
Non,Technicien en télécommunication,Technicien supérieur / Technicienne supérieure en automatisme,H1208,0
Non,Technicien en télécommunication,Technicien supérieur / Technicienne supérieure en industrie graphique,E1308,0
Non,Spécialiste support,Technicien / Technicienne support client,H1101,0
Non,Technicien en télécommunication,Technicien / Technicienne support en bureautique,I1401,0
Non,Technicien en télécommunication,Technicien / Technicienne support en systèmes téléinformatiques,I1401,0
Non,Responsable Sécurité de l'information,Thermicien / Thermicienne de l'industrie,H1206,0
Non,Gestionnaire de base de données,Tireur / Tireuse de plans,E1307,0
Non,Technicien en télécommunication,Tireur / Tireuse en photographie,E1203,0
Non,Gestionnaire de base de données,Toxicologue de l'industrie,H1206,0
Non,Chef de projet systèmes d'information,Traducteur / Traductrice d'édition,E1108,0
Non,Expert Sécurité IT,Traducteur expert / Traductrice experte,E1108,0
Non,Conseiller support technique,Traducteur technique / Traductrice technique,E1108,0
Non,Responsable sécurité des systèmes d'information,Urbaniste des systèmes d'information,M1806,0
Non,Game designer,Web designer,E1205,0
Non,Chargé de communication web,Webmaster concepteur / conceptrice de site web,E1104,0
Non,Développeur Data,Webmaster développeur / développeuse,M1805,0
Non,Chef de projet web,Chef de projet TMA - Tierce Maintenance Applicative,M1805,0
Oui,Chargé de production vidéos,Attaché / Attachée de production audiovisuelle,L1302,100
Non,Chargé de production vidéos,Attaché / Attachée de production cinématographique,L1302,0
Non,Chargé de production vidéos,Attaché / Attachée de production de spectacles,L1302,0
Non,Analyste SOC,Analyste décisionnel - Business Intelligence,M1805,0
Non,Technicien en télécommunication,Technicien / Technicienne en développement systèmes laser,H1210,0
Non,Animateur 3D,Stéréographe 3D,E1205,0
Non,Ingénieur DevOps,Ingénieur / Ingénieure recherche développement packaging,H1206,0
Non,Chargé de production vidéos,Administrateur / Administratrice de production de spectacles,L1302,0
Non,Chargé de marketing digital,Chargé / Chargée d'antenne audiovisuelle,L1302,0
Non,Directeur de projet,Directeur / Directrice artistique spectacle,L1302,0
Non,Délégué à la protection des données (DPD),Opérateur / Opératrice de surveillance de la circulation maritime,M1807,0
Non,Chef de projet web,Chef de projets traduction,E1108,0
Non,Développeur de jeux vidéos,Directeur / Directrice de création - jeux vidéo,E1104,0
Non,Développeur de jeux vidéos,Level designer - jeux vidéo,E1104,0
Non,Développeur de jeux vidéos,Lead graphiste - jeux vidéo,E1205,0
Non,Animateur 3D,Infographiste 3 D,E1205,0
Non,Chef de projet web,Chef de projet évènementiel,E1107,0
